Evacuees;Number of debris;Level of destruction;HP Tire;Mission status
1;1;0.04;0;Failed
1;1;0.0;3;Failed
1;1;0.02;2;Failed
1;1;0.03;5;Failed
1;1;0.01;7;Failed
1;1;0.01;19;Completed
1;1;0.0;17;Completed
1;1;0.04;16;Completed
1;1;0.02;10;Completed
1;1;0.03;12;Completed
1;1;0.0;20;Completed
1;1;0.02;22;Completed
1;1;0.04;23;Completed
1;1;0.01;27;Completed
1;1;0.03;25;Completed
1;1;0.04;30;Completed
1;1;0.0;31;Completed
1;1;0.03;33;Completed
1;1;0.01;35;Completed
1;1;0.02;34;Completed
1;1;0.04;44;Completed
1;1;0.02;42;Completed
1;1;0.01;46;Completed
1;1;0.0;43;Completed
1;1;0.03;41;Completed
1;1;0.04;59;Completed
1;1;0.03;53;Completed
1;1;0.0;52;Completed
1;1;0.02;56;Completed
1;1;0.01;54;Completed
1;1;0.04;65;Completed
1;1;0.0;60;Completed
1;1;0.03;68;Completed
1;1;0.01;67;Completed
1;1;0.02;61;Completed
1;1;0.01;70;Completed
1;1;0.02;73;Completed
1;1;0.04;71;Completed
1;1;0.03;78;Completed
1;1;0.0;74;Completed
1;1;0.02;87;Completed
1;1;0.01;81;Completed
1;1;0.03;82;Completed
1;1;0.0;88;Completed
1;1;0.04;86;Completed
1;1;0.04;95;Completed
1;1;0.01;91;Completed
1;1;0.0;99;Completed
1;1;0.03;94;Completed
1;1;0.02;90;Completed
1;1;0.04;104;Completed
1;1;0.03;101;Completed
1;1;0.02;109;Completed
1;1;0.01;100;Completed
1;1;0.0;102;Completed
1;1;0.03;113;Completed
1;1;0.0;117;Completed
1;1;0.04;111;Completed
1;1;0.01;110;Completed
1;1;0.02;112;Completed
1;1;0.0;121;Completed
1;1;0.01;128;Completed
1;1;0.04;123;Completed
1;1;0.02;124;Completed
1;1;0.03;122;Completed
1;1;0.0;131;Completed
1;1;0.01;136;Completed
1;1;0.04;133;Completed
1;1;0.03;134;Completed
1;1;0.02;139;Completed
1;1;0.02;142;Completed
1;1;0.01;141;Completed
1;1;0.04;147;Completed
1;1;0.03;149;Completed
1;1;0.0;140;Completed
1;1;0.02;153;Completed
1;1;0.04;159;Completed
1;1;0.03;154;Completed
1;1;0.0;151;Completed
1;1;0.01;152;Completed
1;1;0.0;169;Completed
1;1;0.03;166;Completed
1;1;0.02;165;Completed
1;1;0.01;164;Completed
1;1;0.04;161;Completed
1;1;0.03;175;Completed
1;1;0.0;179;Completed
1;1;0.02;172;Completed
