epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.75166,1.18423,4.25193,1.3012,0.00267,0.8,0.00249,0.00135,0.97346,4.20631,1.11987,2e-05,2e-05,2e-05
2,10.6571,1.21872,4.01955,1.26505,0.00333,1,0.0062,0.00418,0.9354,3.91361,0.91901,5.8812e-05,5.8812e-05,5.8812e-05
3,14.4423,1.0529,3.75323,1.09196,0.00333,1,0.01013,0.00756,0.85729,3.68981,0.83124,9.604e-05,9.604e-05,9.604e-05
4,18.2456,0.92436,3.50367,0.95273,0.00333,1,0.00987,0.00777,0.70677,3.64592,0.78336,0.000131684,0.000131684,0.000131684
5,22.1782,0.90092,2.71207,0.9398,0.00333,1,0.00983,0.00826,0.62715,3.57545,0.75456,0.000165744,0.000165744,0.000165744
6,26.4116,0.85439,2.10106,0.95193,0.00333,1,0.01011,0.00843,0.6075,3.43922,0.74864,0.00019822,0.00019822,0.00019822
7,30.6233,0.93692,1.83036,0.97732,0.00333,1,0.01043,0.00792,0.75801,3.34862,0.77984,0.000229112,0.000229112,0.000229112
8,34.5632,0.83757,1.66618,0.90788,0.00333,1,0.01052,0.00848,0.78005,3.34307,0.78724,0.00025842,0.00025842,0.00025842
9,38.5055,0.90933,1.42057,0.96149,0.00333,1,0.01028,0.00829,0.69859,3.36279,0.77466,0.000286144,0.000286144,0.000286144
10,42.4217,0.84277,1.58884,0.92227,0.00333,1,0.0112,0.00903,0.71524,3.40515,0.78265,0.000312284,0.000312284,0.000312284
11,46.3435,0.70825,1.64087,0.89952,0.00333,1,0.01123,0.0092,0.77816,3.44228,0.79559,0.00033684,0.00033684,0.00033684
12,50.2478,0.83531,1.74937,1.02621,0.00333,1,0.0111,0.0091,0.72399,3.44875,0.79,0.000359812,0.000359812,0.000359812
13,54.2638,0.96053,1.49288,0.97152,0.00333,1,0.01126,0.00975,0.7221,3.40865,0.79008,0.0003812,0.0003812,0.0003812
14,58.5392,0.96002,1.3652,0.93321,0.00333,1,0.01126,0.00945,0.70887,3.31411,0.77852,0.000401004,0.000401004,0.000401004
15,62.6047,0.7984,1.77523,0.82633,0.00333,1,0.01091,0.00916,0.6597,3.26364,0.7677,0.000419224,0.000419224,0.000419224
16,66.6042,0.95908,1.3779,0.93406,0.00333,1,0.01283,0.01047,0.64432,3.29162,0.76342,0.00043586,0.00043586,0.00043586
17,70.5362,1.00216,1.27147,0.94639,0.00333,1,0.01258,0.01026,0.67868,3.34298,0.7711,0.000450912,0.000450912,0.000450912
18,74.6219,0.91892,1.33217,0.91276,0.00333,1,0.00966,0.00792,0.73538,3.37863,0.77786,0.00046438,0.00046438,0.00046438
19,79.0545,0.83365,1.12176,0.89513,0.00333,1,0.00957,0.0081,0.69279,3.37577,0.77111,0.000476264,0.000476264,0.000476264
20,83.1958,0.84771,1.27407,1.01471,0.00333,1,0.00926,0.00754,0.67823,3.35576,0.76483,0.000486564,0.000486564,0.000486564
21,87.2629,0.88116,1.13717,0.90883,0.00333,1,0.00918,0.00711,0.79235,3.33858,0.78847,0.00049528,0.00049528,0.00049528
22,91.265,0.91605,1.2449,0.94165,0.00333,1,0.00913,0.00739,0.77231,3.33732,0.78778,0.000502412,0.000502412,0.000502412
23,95.2847,0.82842,1.21706,0.92459,0.00333,1,0.00933,0.00735,0.72541,3.30603,0.79026,0.00050796,0.00050796,0.00050796
24,99.1311,0.86776,1.1118,0.93855,0.00333,1,0.01721,0.01394,0.74211,3.21238,0.79072,0.000511924,0.000511924,0.000511924
25,103.12,1.0347,1.33912,1.00419,0.00333,1,0.03224,0.0276,0.70936,3.18353,0.78936,0.000514304,0.000514304,0.000514304
26,107.161,0.9283,1.22417,0.93117,0.00333,1,0.02339,0.02038,0.63909,3.32461,0.79174,0.0005151,0.0005151,0.0005151
27,111.236,0.87784,1.08487,0.94291,0.00333,1,0.07766,0.07005,0.6172,3.13543,0.79353,0.000514312,0.000514312,0.000514312
28,115.155,0.88829,1.06423,0.93687,0.00333,1,0.07766,0.07005,0.6172,3.13543,0.79353,0.00051194,0.00051194,0.00051194
29,119.323,0.93445,1.19396,0.98686,0.00333,1,0.17157,0.14907,0.704,3.00978,0.80478,0.000507984,0.000507984,0.000507984
30,123.575,0.81679,1.09047,0.89364,0.00333,1,0.17155,0.13486,0.77617,2.962,0.80535,0.000502444,0.000502444,0.000502444
31,127.887,1.06393,1.16637,1.01118,0.00333,1,0.17155,0.13486,0.77617,2.962,0.80535,0.00049532,0.00049532,0.00049532
32,132.238,0.83324,1.04813,0.91909,0.00333,1,0.15547,0.12441,0.70723,2.97246,0.79234,0.000486612,0.000486612,0.000486612
33,136.418,0.79141,1.02577,0.90286,0.00333,1,0.33167,0.28656,0.61419,2.91853,0.78161,0.00047632,0.00047632,0.00047632
34,140.484,0.84194,1.13529,0.94908,0.00333,1,0.33167,0.28656,0.61419,2.91853,0.78161,0.000464444,0.000464444,0.000464444
35,144.5,0.77908,1.00272,0.89499,0.00333,1,0.995,0.86353,0.61481,2.86841,0.7802,0.000450984,0.000450984,0.000450984
36,148.485,0.84644,1.07864,0.93944,0.00716,1,0.995,0.84754,0.65006,2.7267,0.7857,0.00043594,0.00043594,0.00043594
37,152.516,0.73183,1.08754,0.92132,0.00716,1,0.995,0.84754,0.65006,2.7267,0.7857,0.000419312,0.000419312,0.000419312
38,156.516,0.80851,1.11908,0.90334,0.91511,1,0.995,0.82887,0.70056,2.5538,0.7857,0.0004011,0.0004011,0.0004011
39,160.531,0.73827,0.94113,0.90315,0.95907,1,0.995,0.82887,0.73176,2.3933,0.78702,0.000381304,0.000381304,0.000381304
40,164.437,0.85465,1.03154,0.88067,0.95907,1,0.995,0.82887,0.73176,2.3933,0.78702,0.000359924,0.000359924,0.000359924
41,168.333,0.72989,1.24293,0.86217,0.92703,1,0.995,0.85054,0.67919,2.28683,0.7766,0.00033696,0.00033696,0.00033696
42,172.198,0.77926,1.28937,0.94247,0.92688,1,0.995,0.90528,0.57028,2.23156,0.76006,0.000312412,0.000312412,0.000312412
43,175.97,0.67211,1.18032,0.9387,0.92688,1,0.995,0.90528,0.57028,2.23156,0.76006,0.00028628,0.00028628,0.00028628
44,179.975,0.63875,1.21497,0.89352,0.93428,1,0.995,0.9004,0.51206,2.19073,0.75418,0.000258564,0.000258564,0.000258564
45,184.042,0.73623,1.26654,0.94971,0.93428,1,0.995,0.9004,0.51206,2.19073,0.75418,0.000229264,0.000229264,0.000229264
46,188.076,0.6646,1.18105,0.85268,0.93265,1,0.995,0.83664,0.54568,2.13128,0.75711,0.00019838,0.00019838,0.00019838
47,191.996,0.73241,1.23398,0.92148,0.93265,1,0.995,0.83664,0.54568,2.13128,0.75711,0.000165912,0.000165912,0.000165912
48,195.956,0.74395,1.24136,0.88242,0.94881,1,0.995,0.83174,0.60451,2.05149,0.76079,0.00013186,0.00013186,0.00013186
49,199.91,0.74254,1.21484,0.87462,0.94881,1,0.995,0.83174,0.60451,2.05149,0.76079,9.6224e-05,9.6224e-05,9.6224e-05
50,203.839,0.72077,1.25288,0.89427,0.96088,1,0.995,0.83174,0.62705,1.94333,0.76306,5.9004e-05,5.9004e-05,5.9004e-05
