epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.4443,2.36459,0.02273,0.79545,2.36792,7.69e-05,7.69e-05,7.69e-05
2,6.74516,2.07034,0.22727,0.75,2.12764,0.000158292,0.000158292,0.000158292
3,9.93526,1.97241,0.18182,0.81818,2.16839,0.000236335,0.000236335,0.000236335
4,13.1362,1.92647,0.20455,0.81818,2.07835,0.000311028,0.000311028,0.000311028
5,16.423,1.92072,0.22727,0.81818,2.21369,0.000382371,0.000382371,0.000382371
6,19.6015,1.84483,0.29545,0.81818,2.22023,0.000450365,0.000450365,0.000450365
7,22.7524,1.77869,0.27273,0.88636,1.95125,0.000515009,0.000515009,0.000515009
8,25.9602,1.80991,0.31818,0.86364,1.91208,0.000576302,0.000576302,0.000576302
9,29.1592,1.74406,0.29545,0.86364,1.96777,0.000634247,0.000634247,0.000634247
10,32.3258,1.69002,0.38636,0.90909,1.84589,0.000631964,0.000631964,0.000631964
11,35.538,1.65749,0.31818,0.90909,1.75136,0.000616738,0.000616738,0.000616738
12,38.7051,1.55814,0.38636,0.93182,1.59144,0.000601512,0.000601512,0.000601512
13,41.9124,1.49722,0.38636,0.93182,1.49488,0.000586286,0.000586286,0.000586286
14,45.1258,1.4907,0.38636,0.90909,1.46073,0.000571059,0.000571059,0.000571059
15,48.3114,1.48068,0.40909,0.97727,1.5064,0.000555833,0.000555833,0.000555833
16,51.5598,1.43281,0.40909,0.97727,1.50195,0.000540607,0.000540607,0.000540607
17,54.7897,1.33868,0.43182,0.95455,1.55255,0.000525381,0.000525381,0.000525381
18,57.9721,1.40586,0.45455,0.95455,1.56081,0.000510155,0.000510155,0.000510155
19,61.18,1.24769,0.45455,0.95455,1.52671,0.000494928,0.000494928,0.000494928
20,64.3624,1.21828,0.36364,1,1.54952,0.000479702,0.000479702,0.000479702
21,67.5226,1.24176,0.38636,1,1.33722,0.000464476,0.000464476,0.000464476
22,70.7126,1.24211,0.43182,1,1.47245,0.00044925,0.00044925,0.00044925
23,73.9948,1.23177,0.40909,1,1.47202,0.000434024,0.000434024,0.000434024
24,77.2174,1.14677,0.38636,1,1.42758,0.000418797,0.000418797,0.000418797
25,80.4052,1.01306,0.38636,1,1.46831,0.000403571,0.000403571,0.000403571
26,83.6025,1.13083,0.36364,1,1.53613,0.000388345,0.000388345,0.000388345
27,86.7766,1.08402,0.36364,1,1.65464,0.000373119,0.000373119,0.000373119
28,89.9621,1.11076,0.47727,1,1.53231,0.000357893,0.000357893,0.000357893
29,93.2488,1.00001,0.47727,1,1.54168,0.000342666,0.000342666,0.000342666
30,96.4918,0.98736,0.40909,0.97727,1.60445,0.00032744,0.00032744,0.00032744
31,99.6915,1.01545,0.45455,0.97727,1.83204,0.000312214,0.000312214,0.000312214
32,102.91,0.90614,0.40909,0.97727,1.59996,0.000296988,0.000296988,0.000296988
33,106.095,1.03327,0.38636,0.97727,1.32943,0.000281762,0.000281762,0.000281762
34,109.292,0.97612,0.43182,0.97727,1.51781,0.000266535,0.000266535,0.000266535
35,112.489,0.96139,0.43182,1,1.51551,0.000251309,0.000251309,0.000251309
36,115.688,0.99386,0.43182,1,1.59337,0.000236083,0.000236083,0.000236083
37,118.935,0.93117,0.40909,1,1.71804,0.000220857,0.000220857,0.000220857
38,122.127,0.90176,0.40909,1,1.86581,0.000205631,0.000205631,0.000205631
39,125.289,0.79546,0.38636,1,1.4578,0.000190404,0.000190404,0.000190404
40,128.469,0.94867,0.47727,0.97727,1.59921,0.000175178,0.000175178,0.000175178
41,131.682,0.79254,0.5,0.97727,1.41637,0.000159952,0.000159952,0.000159952
42,134.938,0.85368,0.45455,1,1.44103,0.000144726,0.000144726,0.000144726
43,138.185,0.96472,0.43182,1,1.39975,0.0001295,0.0001295,0.0001295
44,141.426,0.81353,0.47727,1,1.42707,0.000114273,0.000114273,0.000114273
45,144.733,0.75638,0.43182,1,1.33602,9.90472e-05,9.90472e-05,9.90472e-05
46,147.929,0.81439,0.38636,1,1.49843,8.3821e-05,8.3821e-05,8.3821e-05
47,151.189,0.74996,0.40909,1,1.48254,6.85948e-05,6.85948e-05,6.85948e-05
48,154.427,0.76611,0.38636,1,1.62459,5.33686e-05,5.33686e-05,5.33686e-05
49,157.631,0.91067,0.38636,1,1.35355,3.81424e-05,3.81424e-05,3.81424e-05
50,160.881,0.75369,0.40909,1,1.46404,2.29162e-05,2.29162e-05,2.29162e-05
