epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.1974,2.02447,0.33152,0.8913,1.82039,0.000250761,0.000250761,0.000250761
2,27.8012,1.76069,0.3587,0.95652,1.67389,0.000497054,0.000497054,0.000497054
3,41.3203,1.66056,0.36413,0.96196,1.54152,0.000733196,0.000733196,0.000733196
4,54.965,1.56708,0.47283,0.9837,1.32316,0.000723321,0.000723321,0.000723321
5,68.5311,1.50057,0.52717,0.98913,1.19625,0.000708095,0.000708095,0.000708095
6,82.3023,1.37546,0.5163,1,1.18091,0.000692869,0.000692869,0.000692869
7,96.0585,1.34299,0.60326,1,1.04306,0.000677643,0.000677643,0.000677643
8,109.598,1.36642,0.58152,1,0.94711,0.000662417,0.000662417,0.000662417
9,122.919,1.26412,0.6087,1,0.93054,0.00064719,0.00064719,0.00064719
10,136.603,1.17425,0.64674,1,0.89601,0.000631964,0.000631964,0.000631964
11,150.037,1.16493,0.65761,1,0.79607,0.000616738,0.000616738,0.000616738
12,163.555,1.17686,0.69022,1,0.83107,0.000601512,0.000601512,0.000601512
13,177.001,1.11423,0.70109,1,0.84567,0.000586286,0.000586286,0.000586286
14,190.301,1.08214,0.75,1,0.71227,0.000571059,0.000571059,0.000571059
15,203.377,1.01072,0.7337,1,0.61736,0.000555833,0.000555833,0.000555833
16,216.598,1.0151,0.75,1,0.6353,0.000540607,0.000540607,0.000540607
17,229.961,1.01967,0.78261,1,0.61134,0.000525381,0.000525381,0.000525381
18,243.341,0.95052,0.72826,1,0.61235,0.000510155,0.000510155,0.000510155
19,256.759,0.99906,0.81522,1,0.50212,0.000494928,0.000494928,0.000494928
20,269.899,0.89313,0.84783,1,0.40192,0.000479702,0.000479702,0.000479702
21,283.311,0.82269,0.85326,1,0.38706,0.000464476,0.000464476,0.000464476
22,296.683,0.85002,0.88043,1,0.35916,0.00044925,0.00044925,0.00044925
23,309.946,0.85748,0.86413,1,0.35564,0.000434024,0.000434024,0.000434024
24,323.342,0.78854,0.875,1,0.34205,0.000418797,0.000418797,0.000418797
25,336.866,0.69916,0.88043,1,0.312,0.000403571,0.000403571,0.000403571
26,357.577,0.78326,0.91304,1,0.29297,0.000388345,0.000388345,0.000388345
27,373.124,0.78838,0.8913,1,0.29458,0.000373119,0.000373119,0.000373119
28,386.256,0.68573,0.88043,1,0.32612,0.000357893,0.000357893,0.000357893
29,399.126,0.73365,0.93478,1,0.23595,0.000342666,0.000342666,0.000342666
30,410.268,0.68193,0.86957,1,0.31654,0.00032744,0.00032744,0.00032744
31,423.632,0.69491,0.91848,1,0.22298,0.000312214,0.000312214,0.000312214
32,436.957,0.61513,0.93478,1,0.2254,0.000296988,0.000296988,0.000296988
33,450.279,0.67287,0.92935,1,0.21687,0.000281762,0.000281762,0.000281762
34,463.467,0.63207,0.92391,1,0.20887,0.000266535,0.000266535,0.000266535
35,476.827,0.6437,0.94022,1,0.20213,0.000251309,0.000251309,0.000251309
36,490.31,0.62454,0.92935,1,0.21884,0.000236083,0.000236083,0.000236083
37,503.358,0.59815,0.92935,1,0.22322,0.000220857,0.000220857,0.000220857
38,516.451,0.59513,0.92391,1,0.23462,0.000205631,0.000205631,0.000205631
39,529.576,0.58587,0.93478,1,0.2021,0.000190404,0.000190404,0.000190404
40,543.023,0.59717,0.92391,1,0.18893,0.000175178,0.000175178,0.000175178
41,556.473,0.57584,0.94565,1,0.21492,0.000159952,0.000159952,0.000159952
42,569.736,0.57554,0.93478,1,0.18524,0.000144726,0.000144726,0.000144726
43,583.048,0.52463,0.96739,1,0.16061,0.0001295,0.0001295,0.0001295
44,596.392,0.52454,0.94565,1,0.1551,0.000114273,0.000114273,0.000114273
45,609.59,0.51825,0.92391,1,0.17848,9.90472e-05,9.90472e-05,9.90472e-05
46,622.917,0.51325,0.94565,1,0.17388,8.3821e-05,8.3821e-05,8.3821e-05
47,636.524,0.51934,0.94022,1,0.15842,6.85948e-05,6.85948e-05,6.85948e-05
48,649.848,0.5192,0.92935,1,0.17572,5.33686e-05,5.33686e-05,5.33686e-05
49,663.171,0.49176,0.95109,1,0.16384,3.81424e-05,3.81424e-05,3.81424e-05
50,676.396,0.51552,0.94565,1,0.16982,2.29162e-05,2.29162e-05,2.29162e-05
